Mode,Line,Trip purpose: Home-based work,Trip purpose: Home-based school,Trip purpose: Home-based social activity,Trip purpose: Home-based other,Trip purpose: Non-home-based,Count: Trip purpose,Trip frequency: 6-7 days a week,Trip frequency: 5 days a week,Trip frequency: 3-4 days a week,Trip frequency: 1-2 days a week,Trip frequency: 1-3 days a month,Trip frequency: Less than once a month,Count: Trip frequency,Fare: Monthly pass,Fare: Pay-per-ride,Fare: 1-day or 7-day LinkPass,Fare: Other,Count: Fare,Monthly pass type: Reduced-fare pass,Monthly pass type: Local Bus,Monthly pass type: LinkPass or Express Bus,Monthly pass type: Commuter rail or ferry,Count: Monthly pass type,Pay-per-ride type: Full cash fare on board,Pay-per-ride type: Reduced fare,Pay-per-ride type: mTicket (single/multi-ride),Pay-per-ride type: CharlieCard (plastic),Pay-per-ride type: CharlieTicket (paper),Count: Pay-per-ride type,Access to first MBTA service: Walked or bicycled,Access to first MBTA service: Drove alone,Access to first MBTA service: Carpooled,Access to first MBTA service: Dropped off by personal vehicle,Access to first MBTA service: Dropped off by other vehicle,Count: Access to first MBTA service,Previous transit mode: Bus or Silver Line,Previous transit mode: Rail rapid transit,Previous transit mode: Commuter rail or ferry,Count: Previous transit mode,Use alternative modes: Yes,Use alternative modes: No,Count: Use alternative modes,Alternative modes: Walk,Alternative modes: Bicycle,Alternative modes: Drive alone,Alternative modes: Drive or ride in a carpool,Alternative modes: Take a taxi or use a rideshare company,Alternative modes: Take a private shuttle or other transit,Alternative modes: Take a different MBTA service,Alternative modes: Other,Count: Alternative modes,Usable household vehicles: 0,Usable household vehicles: 1,Usable household vehicles: 2,Usable household vehicles: 3 or more,Count: Usable household vehicles,Vehicles per capita: None,Vehicles per capita: 0.01-0.49,Vehicles per capita: 0.50-0.99,Vehicles per capita: 1.00-1.49,Vehicles per capita: 1.50-1.99,Vehicles per capita: 2 or more,Count: Vehicles per capita,Valid driver's license: Yes,Valid driver's license: No,Count: Valid driver's license,"Household income: Less than $14,500","Household income: $14,500 to $28,999","Household income: $29,000 to $43,499","Household income: $43,500 to $57,999","Household income: $58,000 to $75,999","Household income: $76,000 to $108,499","Household income: $108,500 to $151,999","Household income: $152,000 or more",Household income: Prefer not to say,Count: Household income,Low-income classification: Yes,Low-income classification: No,Count: Low-income classification,Race: American Indian or Alaska Native,Race: Asian,Race: Black or African American,Race: Native Hawaiian or other Pacific Islander,Race: White,Race: Other,Race: Prefer not to say,Count: Race,Hispanic or Latino/Latina: Yes,Hispanic or Latino/Latina: No,Hispanic or Latino/Latina: Prefer not to say,Count: Hispanic or Latino/Latina,Minority classification: Yes,Minority classification: No,Count: Minority classification,Age: Under 18,Age: 18 to 21,Age: 22 to 34,Age: 35 to 44,Age: 45 to 64,Age: 65 or over,Count: Age,Gender: Man,Gender: Woman,Gender: Other,Gender: Prefer not to say,Count: Gender,Ability to understand English: Always,Ability to understand English: Often,Ability to understand English: Sometimes,Ability to understand English: Never,Ability to understand English: Prefer not to say,Count: Ability to understand English
Bus,18,N/A,N/A,N/A,N/A,N/A,30,N/A,N/A,N/A,N/A,N/A,N/A,34,N/A,N/A,N/A,N/A,44,N/A,N/A,N/A,N/A,26,N/A,N/A,N/A,N/A,N/A,8,N/A,N/A,N/A,N/A,N/A,26,0.589595376,0.410404624,0,17,N/A,N/A,32,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22,N/A,N/A,N/A,N/A,36,N/A,N/A,N/A,N/A,N/A,N/A,28,N/A,N/A,40,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,34,N/A,N/A,26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40,N/A,N/A,N/A,26,N/A,N/A,32,N/A,N/A,N/A,N/A,N/A,N/A,40,N/A,N/A,N/A,N/A,40,0.945876289,0.051546392,0,0,0,38
Bus,19,0.75,0.130392157,0,0.054575163,0.065359477,184,0.063291139,0.705379747,0.147468354,0.042088608,0.021202532,0.021202532,190,0.774078862,0.150614092,0.064641241,0.010665805,186,0.208350731,0.124843424,0.611273486,0.055532359,144,0,0.141630901,0,0.856223176,0,28,0.991484832,0,0,0,0.009047366,113,0.573376103,0.360064154,0.066559743,75,0.627758235,0.372241765,188,0.189735614,0.103680664,0.086054951,0.155002592,0.206842924,0.103680664,0.517366511,0,116,0.395771391,0.318797489,0.219689462,0.066072019,182,0.371897938,0.267389025,0.197832926,0.162880112,0,0,172,0.595778702,0.404221298,188,0.066072019,0.087875785,0.098777668,0.087875785,0.164849686,0.110009911,0.098777668,0.033036009,0.252725471,182,0.338196286,0.661803714,136,0.054839775,0.054839775,0.450611166,0.010901883,0.362735382,0.087875785,0.054839775,182,0.155644623,0.822311289,0.02237809,180,0.670652545,0.329689101,176,0.094620253,0.052531646,0.252531646,0.210443038,0.326265823,0.063291139,190,0.147468354,0.842088608,0,0.010443038,190,0.979329784,0.020983401,0,0,0,192
Bus,21,0.718912313,0.083409716,0.041552093,0.103880232,0.051940116,192,0.198150594,0.549537649,0.126023778,0.026948481,0.054161162,0.044914135,222,0.747688243,0.126023778,0.117040951,0.008982827,222,0.16819788,0.180565371,0.602473498,0.048056537,166,0,0.285115304,0,0.64360587,0.071278826,28,0.941345601,0,0.009775733,0.009775733,0.039102933,102,0.467307692,0.516346154,0.016346154,122,0.63320775,0.367061356,218,0.147046141,0.029322984,0.161707633,0.264769297,0.264769297,0.029322984,0.42647693,0.014661492,136,0.445481205,0.363636364,0.127166089,0.063716342,220,0.46062603,0.303459638,0.179901153,0.05601318,0,0,178,0.612681638,0.387318362,222,0.113171002,0.094355285,0.169894853,0.113171002,0.160486995,0.103763143,0.018815717,0.009407858,0.216934145,212,0.481978799,0.518021201,166,0.054161162,0.035931308,0.60343461,0,0.117040951,0.144253633,0.081109643,222,0.103114605,0.804052011,0.092833384,194,0.871018606,0.128981394,186,0.045748116,0.02744887,0.28444564,0.119214209,0.431108719,0.091765339,218,0.348258706,0.642838439,0,0.008902854,224,0.937970413,0.026472878,0.026472878,0,0.008824293,226
Bus,23,0.594903692,0.069622793,0.075943018,0.189807384,0.069622793,316,0.22156174,0.437539404,0.153381969,0.034134918,0.073853913,0.079528055,352,0.679846825,0.207854662,0.095467094,0.016831419,356,0.24796961,0.181818182,0.553576107,0.016505109,242,0.026992288,0.161953728,0,0.811053985,0,74,0.953104359,0.005284016,0.005284016,0.015686922,0.020970938,192,0.610958904,0.388845401,0,162,0.561364479,0.438635521,342,0.229194188,0.031208719,0.083388375,0.229194188,0.197985469,0.010402906,0.437582563,0,192,0.471258085,0.333333333,0.143664025,0.051744557,348,0.47331713,0.213357286,0.186621579,0.106625806,0.013315016,0.006657508,300,0.54543817,0.45456183,352,0.217622378,0.147039627,0.09995338,0.094079254,0.094079254,0.088205128,0.035337995,0.011748252,0.211748252,340,0.589543411,0.410456589,268,0.034134918,0.045483203,0.653427002,0.011348284,0.170494461,0.10231469,0.062505629,352,0.140247439,0.792673497,0.067079064,328,0.84906789,0.15093211,318,0.044717967,0.083768706,0.296112636,0.139644027,0.363145311,0.072611352,358,0.303410811,0.685457298,0,0.011220946,356,0.988651716,0.011348284,0,0,0,352
Bus,26,N/A,N/A,N/A,N/A,N/A,92,N/A,N/A,N/A,N/A,N/A,N/A,96,0.679400749,0.207490637,0.094382022,0.018726592,106,0.27783903,0.027563396,0.638368247,0.055126792,72,0,0.270758123,0,0.635379061,0.090252708,22,0.963235294,0,0.019117647,0,0.019117647,54,0.312396694,0.687603306,0,48,N/A,N/A,94,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,48,N/A,N/A,N/A,N/A,94,N/A,N/A,N/A,N/A,N/A,N/A,84,N/A,N/A,96,0.200353045,0.133274492,0.200353045,0.067078553,0.155339806,0.022065313,0,0.022065313,0.200353045,90,0.667034179,0.332965821,72,0.020678246,0.020678246,0.625310174,0,0.145574855,0.229114971,0.041356493,96,0.046168052,0.88365651,0.070175439,86,0.864806867,0.135193133,74,N/A,N/A,N/A,N/A,N/A,N/A,100,N/A,N/A,N/A,N/A,92,0.877633712,0.061588331,0.020259319,0,0.040518639,98
Bus,27,N/A,N/A,N/A,N/A,N/A,76,N/A,N/A,N/A,N/A,N/A,N/A,84,N/A,N/A,N/A,N/A,82,N/A,N/A,N/A,N/A,60,N/A,N/A,N/A,N/A,N/A,18,0.880597015,0.024875622,0.047263682,0.024875622,0.024875622,42,0.427860697,0.572139303,0,42,N/A,N/A,82,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,52,N/A,N/A,N/A,N/A,80,N/A,N/A,N/A,N/A,N/A,N/A,66,N/A,N/A,80,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,80,N/A,N/A,70,N/A,N/A,N/A,N/A,N/A,N/A,N/A,84,0.027576197,0.88969521,0.082728592,72,0.924281984,0.074412533,80,N/A,N/A,N/A,N/A,N/A,N/A,82,0.194904459,0.805095541,0,0,82,0.951592357,0.024203822,0.024203822,0,0,82
Bus,28,0.621647059,0.1712,0.036047059,0.117082353,0.054117647,222,0.223986628,0.520016715,0.135979941,0.055996657,0.047973255,0.015963226,250,0.661302553,0.177437021,0.137079788,0.024180639,248,0.34144477,0.134157217,0.487832845,0.036565168,164,0,0.136277303,0,0.818138651,0.045584046,44,0.963008822,0.007429191,0,0.007429191,0.022287572,135,0.635558704,0.355941208,0.008500089,118,0.663897928,0.336016441,244,0.29998694,0.037482043,0.087501632,0.225022855,0.19994776,0.05001959,0.512472248,0.012537547,160,0.535979941,0.344003343,0.096030088,0.023986628,250,0.540517647,0.234258824,0.153129412,0.072094118,0,0,222,0.553704023,0.446295977,242,0.191711649,0.133292704,0.21669859,0.125021766,0.100034825,0.033344942,0.033344942,0,0.166637646,240,0.650020894,0.349979106,200,0.047973255,0.040033431,0.759966569,0.008023402,0.103969912,0.064020059,0.064020059,250,0.115014793,0.796505178,0.08848003,226,0.922453391,0.077546609,232,0.079983285,0.071959883,0.184036774,0.176013372,0.4,0.088006686,250,0.267686739,0.692908852,0,0.039404409,254,0.959642767,0.016092341,0.016092341,0,0.008088297,248
Bus,30,N/A,N/A,N/A,N/A,N/A,114,0.077082256,0.569063632,0.169167098,0.030522504,0.077082256,0.077082256,130,0.757514009,0.166581763,0.075904228,0,132,0.180228648,0.039677202,0.759919301,0.020174849,100,0,0.180428135,0,0.819571865,0,22,0.970760234,0,0,0.014619883,0.014619883,69,0.1937751,0.8062249,0,67,N/A,N/A,122,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,82,0.270154832,0.38120662,0.270154832,0.079551522,126,0.245558376,0.226522843,0.32106599,0.20748731,0,0,106,0.707708226,0.292291774,130,0.143085958,0.127068873,0.095034704,0.095034704,0.127068873,0.111051789,0.127068873,0.031500267,0.143085958,126,0.425902864,0.574097136,108,0.031003678,0.031003678,0.468733579,0,0.343667893,0.140830268,0.093536521,128,0.150224215,0.816704036,0.033071749,120,0.701474926,0.298525074,114,0.015519917,0.077082256,0.384376617,0.184687015,0.276771857,0.061562338,130,0.317672184,0.682861719,0,0,126,0.874934314,0.093536521,0.031003678,0,0,128
Bus,31,0.583280691,0.154769425,0,0.119182986,0.142977469,168,0.204151625,0.5,0.183754513,0.040794224,0.020397112,0.051083032,196,0.642085661,0.242085661,0.094785847,0.021042831,190,0.262470998,0.032772622,0.672273782,0.032772622,122,0,0.218461538,0,0.739230769,0.043846154,46,0.917602996,0.035372451,0.011652102,0.02372035,0.011652102,85,0.383267196,0.616732804,0,107,0.494578657,0.505421343,186,0.086923077,0.021923077,0.130384615,0.217307692,0.152307692,0.021923077,0.586923077,0,92,0.446744449,0.265901393,0.234098607,0.053255551,188,0.430362741,0.291088222,0.189879086,0.075906852,0.012763099,0,158,0.567025351,0.432974649,194,0.20210764,0.138313888,0.138313888,0.09578472,0.127587505,0.053255551,0.042529168,0.031990967,0.170116673,188,0.577001588,0.422998412,156,0.076982893,0,0.703343701,0,0.120917574,0.219867807,0.033048212,182,0.120917574,0.813180404,0.065902022,182,0.925966368,0.074033632,162,0.051083032,0.081588448,0.306137184,0.112274368,0.39801444,0.051083032,196,0.218721209,0.770775751,0,0.01050304,192,0.959205776,0.010288809,0.010288809,0,0.020397112,196
Bus,32,0.649122807,0.210526316,0.01405912,0.087599135,0.038572459,570,0.191196994,0.576811594,0.115942029,0.05324745,0.021900161,0.040794418,638,0.729592936,0.144626319,0.106935171,0.018845574,636,0.280147601,0.047380074,0.599114391,0.073210332,464,0.087118392,0.239017126,0,0.60908414,0.065524944,92,0.927355749,0.03030303,0,0.027189705,0.015151515,330,0.216084843,0.761378701,0.022536456,310,0.547608354,0.45250393,610,0.197421264,0.049461002,0.172902135,0.314732615,0.240752484,0.030860283,0.314732615,0,324,0.274726477,0.415317287,0.239606127,0.0702407,626,0.265938069,0.304918033,0.315604129,0.102853673,0.007043109,0.003521554,564,0.563285652,0.436714348,632,0.11944834,0.095605423,0.112669472,0.126227209,0.081930809,0.116058906,0.06486676,0.051192146,0.232117812,586,0.426636225,0.573363775,450,0.013445185,0.030222937,0.486554815,0.010112618,0.30199954,0.130889451,0.067111009,596,0.239819528,0.712748727,0.047316057,592,0.755148467,0.244731801,572,0.15097997,0.106935171,0.29872927,0.15097997,0.213870342,0.078612966,636,0.355373681,0.625780745,0,0.018845574,636,0.948743277,0.028866206,0.009658654,0.003182966,0.009658654,624
